N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 20e-6 0.50e-6 0.70 0.0670291 19.3278 4227.73 0.99732 0.0706356
0.22e-6 0.28e-6 20e-6 0.50e-6 0.75 0.0615341 18.6736 3629.61 0.997335 0.07024
0.22e-6 0.28e-6 20e-6 0.50e-6 0.80 0.0552406 17.8659 3005.22 0.99736 0.0696518
0.22e-6 0.28e-6 20e-6 0.50e-6 0.85 0.0478097 16.8169 2349.69 0.997403 0.0686964
0.22e-6 0.28e-6 20e-6 0.50e-6 0.90 0.0390117 15.4335 1695.2 0.997511 0.0666593
0.22e-6 0.28e-6 20e-6 0.50e-6 0.95 0.0406999 16.4143 2138.18 0.998265 0.0550405
0.22e-6 0.28e-6 20e-6 0.50e-6 1.00 0.0423195 17.3013 2634.11 0.998398 0.0532227
0.22e-6 0.28e-6 20e-6 0.50e-6 1.05 0.0399825 17.6296 2845 0.998541 0.0509181
0.22e-6 0.28e-6 20e-6 0.50e-6 1.10 0.0373408 18.2135 3261.88 0.998717 0.0479665
0.22e-6 0.28e-6 20e-6 0.50e-6 1.15 0.0358376 19.4439 4346.86 0.998911 0.0445768
0.22e-6 0.28e-6 30e-6 0.28e-6 0.55 0.109844 25.9781 19732.4 0.997641 0.0677026
0.22e-6 0.28e-6 30e-6 0.28e-6 0.60 0.104888 25.604 18099.7 0.997646 0.0675945
0.22e-6 0.28e-6 30e-6 0.28e-6 0.65 0.0995221 25.1799 16411.3 0.997652 0.0674561
0.22e-6 0.28e-6 30e-6 0.28e-6 0.70 0.0936483 24.6923 14663.2 0.997661 0.0672703
0.22e-6 0.28e-6 30e-6 0.28e-6 0.75 0.0871465 24.1214 12851 0.997674 0.0670162
0.22e-6 0.28e-6 30e-6 0.28e-6 0.80 0.0798512 23.4362 10968.2 0.997692 0.0666631
0.22e-6 0.28e-6 30e-6 0.28e-6 0.85 0.0715146 22.5841 9005.4 0.997718 0.066159
0.22e-6 0.28e-6 30e-6 0.28e-6 0.90 0.0617539 21.4685 6954.15 0.997756 0.0654088
0.22e-6 0.28e-6 30e-6 0.28e-6 0.95 0.0499928 19.8949 4825.43 0.997817 0.0642081
0.22e-6 0.28e-6 30e-6 0.28e-6 1.00 0.0359053 17.543 2787.02 0.997945 0.0617309
0.22e-6 0.28e-6 30e-6 0.28e-6 1.05 0.0286202 16.3979 2130.05 0.99849 0.0520546
0.22e-6 0.28e-6 30e-6 0.28e-6 1.10 0.0325493 18.107 3181.46 0.998635 0.0499259
0.22e-6 0.28e-6 30e-6 0.28e-6 1.15 0.0321586 18.9071 3835.45 0.998775 0.0474925
0.22e-6 0.28e-6 30e-6 0.36e-6 0.55 0.0952144 22.9229 9734.38 0.996529 0.0818849
0.22e-6 0.28e-6 30e-6 0.36e-6 0.60 0.0905172 22.5178 8863.11 0.996537 0.0817221
0.22e-6 0.28e-6 30e-6 0.36e-6 0.65 0.0854391 22.0581 7967.92 0.996549 0.0815136
0.22e-6 0.28e-6 30e-6 0.36e-6 0.70 0.0798844 21.5277 7046.19 0.996564 0.0812339
0.22e-6 0.28e-6 30e-6 0.36e-6 0.75 0.0737282 20.9028 6095.24 0.996587 0.0808485
0.22e-6 0.28e-6 30e-6 0.36e-6 0.80 0.0667959 20.1453 5111.87 0.99662 0.0803022
0.22e-6 0.28e-6 30e-6 0.36e-6 0.85 0.0588251 19.1897 4092.5 0.99667 0.0794966
0.22e-6 0.28e-6 30e-6 0.36e-6 0.90 0.0494047 17.9111 3036.17 0.996748 0.0782263
0.22e-6 0.28e-6 30e-6 0.36e-6 0.95 0.0381577 16.1103 1988.89 0.996903 0.0757914
0.22e-6 0.28e-6 30e-6 0.36e-6 1.00 0.0338559 15.8889 1888.39 0.9978 0.0631141
0.22e-6 0.28e-6 30e-6 0.36e-6 1.05 0.0356513 16.9789 2441.55 0.998013 0.0602825
0.22e-6 0.28e-6 30e-6 0.36e-6 1.10 0.0328902 17.2298 2589.99 0.998211 0.0572991
0.22e-6 0.28e-6 30e-6 0.36e-6 1.15 0.0298833 17.7033 2894.37 0.998438 0.0537041
0.22e-6 0.28e-6 30e-6 0.50e-6 0.55 0.0805565 19.056 3961.85 0.99406 0.106672
0.22e-6 0.28e-6 30e-6 0.50e-6 0.60 0.0763901 18.6373 3593.16 0.994075 0.106428
0.22e-6 0.28e-6 30e-6 0.50e-6 0.65 0.0719014 18.1636 3216.74 0.994096 0.106116
0.22e-6 0.28e-6 30e-6 0.50e-6 0.70 0.0670013 17.6178 2831.02 0.994125 0.105698
0.22e-6 0.28e-6 30e-6 0.50e-6 0.75 0.0615713 16.9745 2434.49 0.994168 0.105119
0.22e-6 0.28e-6 30e-6 0.50e-6 0.80 0.0554443 16.1934 2025.64 0.994232 0.104285
0.22e-6 0.28e-6 30e-6 0.50e-6 0.85 0.0483666 15.2049 1603.24 0.994333 0.103007
0.22e-6 0.28e-6 30e-6 0.50e-6 0.90 0.0400108 13.8959 1173.19 0.994517 0.10077
0.22e-6 0.28e-6 30e-6 0.50e-6 0.95 0.033214 12.9557 935.515 0.995353 0.0919681
0.22e-6 0.28e-6 30e-6 0.50e-6 1.00 0.0384661 14.8027 1458.58 0.996514 0.0797078
0.22e-6 0.28e-6 30e-6 0.50e-6 1.05 0.0351019 14.8357 1470.28 0.996812 0.076266
0.22e-6 0.28e-6 30e-6 0.50e-6 1.10 0.031664 15.1211 1573.81 0.997183 0.0718615
0.22e-6 0.28e-6 30e-6 0.50e-6 1.15 0.0297467 16.1591 2012.58 0.997596 0.0668038
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.55 0.0982155 41.2883 672619 0.999998 0.00113653
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.60 0.0870631 40.1014 511762 0.999997 0.00116474
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.65 0.0685164 37.8157 302319 0.999997 0.00119797
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.70 0.0500375 34.8732 153514 0.999996 0.00122734
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.75 0.0358631 31.8394 76317.6 0.999994 0.00124317
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.80 0.0247885 28.6467 36563.3 0.999991 0.00122235
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.85 0.016492 25.2443 16676.2 0.999988 0.00104848
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.90 0.0234691 28.2728 33543.2 0.999991 0.00108271
0.22e-6 0.36e-6 0.66e-6 0.28e-6 0.95 0.0356637 31.8605 76688.9 0.999994 0.00111941
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.00 0.0526 35.2982 169303 0.999996 0.0011144
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.05 0.0772714 38.7978 379045 0.999997 0.00109519
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.10 0.10565 41.7717 751807 0.999998 0.00106395
0.22e-6 0.36e-6 0.66e-6 0.28e-6 1.15 0.123926 43.5215 1.12486E+06 0.999998 0.00101954
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.55 0.086278 38.4129 346898 0.999996 0.00145341
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.60 0.078065 37.4637 278781 0.999996 0.00148027
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.65 0.0637499 35.5854 180880 0.999995 0.00151128
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.70 0.0476138 32.9425 98401.6 0.999993 0.00153564
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.75 0.0337076 29.935 49207.1 0.999991 0.00153183
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.80 0.0214135 26.1615 20609.7 0.999987 0.00128998
